"","x"
"640",24
"641",37
"642",19
"643",11
"644",20
"645",19
"646",32
"647",30
"648",13
"649",40
"650",22
"651",27
"652",9
"653",32
"654",17
"655",36
"656",10
"657",28
"658",26
"659",69
"660",13
"661",25
"662",15
"663",27
"664",16
"665",14
"666",28
"667",70
"668",12
"669",26
"670",27
"671",21
"672",21
"673",17
"674",16
"675",12
"676",15
"677",36
"678",31
"679",29
"680",19
"681",53
"682",21
"683",4
"684",11
"685",22
"686",25
"687",8
"688",73
"689",15
"690",27
"691",34
"692",6
"693",22
"694",22
"695",28
"696",33
"697",17
"698",21
"699",32
"700",20
"701",23
"702",7
"703",21
"704",42
"705",13
"706",26
"707",22
"708",43
"709",24
"710",20
"711",25
"712",37
"713",39
"714",21
"715",42
"716",34
"717",10
"718",35
"719",18
"720",8
"721",10
"722",45
"723",28
"724",22
"725",30
"726",15
"727",46
"728",14
"729",15
"730",20
"731",17
"732",26
"733",11
"734",42
"735",17
"736",23
"737",28
"738",25
"739",15
"740",11
"741",24
"742",26
"743",44
"744",13
"745",36
"746",35
"747",25
"748",14
"749",22
"750",19
"751",13
"752",23
"753",51
"754",24
"755",21
"756",26
"757",23
"758",17
"759",24
"760",14
"761",31
"762",33
"763",35
"764",32
"765",10
"766",24
"767",21
"768",44
"769",24
"770",14
"771",18
"772",11
"773",28
"774",29
"775",13
"776",36
"777",44
"778",33
"779",32
"780",34
"781",69
"782",30
"783",18
"784",24
"785",13
"786",16
"787",12
"788",7
"789",24
"790",26
"791",29
"792",41
"793",54
"794",40
"795",16
"796",36
"797",10
"798",30
"799",37
"800",24
"801",29
"802",9
"803",36
"804",10
"805",18
"806",25
"807",27
"808",30
"809",8
"810",26
"811",12
"812",10
"813",18
"814",25
"815",40
"816",18
"817",11
"818",31
"819",33
"820",29
"821",31
"822",36
"823",14
"824",22
"825",30
"826",10
"827",22
"828",45
"829",26
"830",51
"831",44
"832",8
"833",45
"834",8
"835",33
"836",11
"837",33
"838",10
"839",6
"840",26
"841",17
"842",20
"843",12
"844",35
"845",12
"846",40
"847",25
"848",23
"849",9
"850",32
"851",30
"852",8
"853",39
"854",15
"855",30
"856",21
"857",33
"858",19
"859",22
"860",22
"861",28
"862",16
"863",32
"864",25
"865",32
"866",15
"867",23
"868",34
"869",28
"870",29
"871",14
"872",31
"873",34
"874",38
"875",28
"876",33
"877",36
"878",27
"879",39
"880",10
"881",16
"882",15
"883",23
"884",26
"885",31
"886",3
"887",21
"888",5
"889",29
"890",29
"891",16
"892",16
"893",16
"894",33
"895",47
"896",32
"897",22
"898",18
"899",5
"900",16
"901",28
"902",12
"903",9
"904",17
"905",20
"906",25
"907",21
"908",41
"909",34
"910",27
"911",22
"912",25
"913",13
"914",36
"915",23
"916",30
"917",11
"918",21
"919",44
"920",8
"921",24
"922",32
"923",14
"924",26
"925",20
"926",20
"927",28
"928",19
"929",9
"930",26
"931",29
"932",23
"933",15
"934",23
"935",30
"936",20
"937",21
"938",22
"939",22
"940",26
"941",37
"942",17
"943",22
"944",30
"945",47
"946",17
"947",9
"948",20
"949",40
"950",37
"951",45
"952",16
"953",14
"954",33
"955",25
"956",49
"957",16
"958",20
"959",19
"960",22
"961",16
"962",14
"963",19
"964",24
"965",25
"966",29
"967",21
"968",36
"969",19
"970",18
"971",27
"972",21
"973",5
"974",14
"975",41
"976",50
"977",25
"978",14
"979",17
"980",20
"981",5
"982",18
"983",16
"984",33
"985",18
"986",31
"987",25
"988",6
"989",15
"990",22
"991",9
"992",16
"993",12
"994",25
"995",60
"996",19
"997",26
"998",21
"999",20
"1000",9
"1001",16
"1002",41
"1003",41
"1004",14
"1005",33
"1006",30
"1007",13
"1008",8
"1009",28
"1010",28
"1011",24
"1012",33
"1013",39
"1014",35
"1015",14
"1016",30
"1017",17
"1018",16
"1019",53
"1020",33
"1021",32
"1022",40
"1023",36
"1024",1
"1025",17
"1026",15
"1027",24
"1028",36
"1029",21
"1030",28
"1031",20
"1032",44
"1033",18
"1034",16
"1035",31
"1036",21
"1037",34
"1038",49
"1039",25
"1040",19
"1041",42
"1042",28
"1043",37
"1044",23
"1045",19
"1046",28
"1047",9
"1048",41
"1049",29
"1050",20
"1051",18
"1052",35
"1053",17
"1054",18
"1055",38
"1056",34
"1057",31
"1058",13
"1059",34
"1060",20
"1061",24
"1062",21
"1063",24
"1064",48
"1065",17
"1066",35
"1067",29
"1068",23
"1069",32
"1070",28
"1071",29
"1072",14
"1073",11
"1074",15
"1075",22
"1076",25
"1077",23
"1078",6
"1079",21
"1080",60
"1081",12
"1082",31
"1083",18
"1084",20
"1085",18
"1086",51
"1087",16
"1088",32
"1089",13
"1090",27
"1091",52
"1092",23
"1093",34
"1094",36
"1095",30
"1096",37
"1097",30
"1098",21
"1099",17
"1100",16
"1101",19
"1102",21
"1103",24
"1104",17
"1105",40
"1106",25
"1107",40
"1108",11
"1109",16
"1110",37
"1111",13
"1112",18
"1113",41
"1114",24
"1115",29
"1116",17
"1117",12
"1118",43
"1119",23
"1120",25
"1121",25
"1122",35
"1123",31
"1124",17
"1125",33
"1126",24
"1127",25
"1128",17
"1129",26
"1130",24
"1131",20
"1132",4
"1133",40
"1134",23
"1135",32
"1136",20
"1137",53
"1138",25
"1139",36
"1140",21
"1141",50
"1142",20
"1143",38
"1144",23
"1145",25
"1146",47
"1147",35
"1148",24
"1149",40
"1150",21
"1151",47
"1152",19
"1153",21
"1154",25
"1155",21
"1156",20
"1157",51
"1158",5
"1159",26
"1160",31
"1161",20
"1162",29
"1163",18
"1164",37
"1165",23
"1166",44
"1167",21
"1168",27
"1169",13
"1170",21
"1171",9
"1172",29
"1173",41
"1174",21
"1175",18
"1176",14
"1177",18
"1178",20
"1179",29
"1180",23
"1181",42
"1182",28
"1183",29
"1184",30
"1185",40
"1186",27
"1187",28
"1188",35
"1189",27
"1190",14
"1191",15
"1192",20
"1193",9
"1194",32
"1195",32
"1196",16
"1197",27
"1198",16
"1199",20
"1200",14
"1201",13
"1202",33
"1203",38
"1204",15
"1205",38
"1206",19
"1207",47
"1208",33
"1209",27
"1210",20
"1211",22
"1212",16
"1213",22
"1214",16
"1215",22
"1216",20
"1217",19
"1218",34
"1219",31
"1220",13
"1221",37
"1222",30
"1223",10
"1224",38
"1225",15
"1226",22
"1227",55
"1228",20
"1229",13
"1230",19
"1231",17
"1232",24
"1233",17
"1234",16
"1235",24
"1236",29
"1237",34
"1238",17
"1239",24
"1240",19
"1241",19
"1242",40
"1243",54
"1244",25
"1245",20
"1246",22
"1247",12
"1248",21
"1249",28
"1250",35
"1251",18
"1252",14
"1253",16
"1254",14
"1255",13
"1256",41
"1257",13
"1258",21
"1259",28
"1260",43
"1261",50
"1262",16
"1263",30
"1264",12
"1265",47
"1266",22
"1267",38
"1268",9
"1269",27
"1270",34
"1271",43
"1272",18
"1273",15
"1274",27
"1275",10
"1276",25
"1277",20
"1278",19
"1279",20
"1280",9
"1281",11
"1282",23
"1283",18
"1284",33
"1285",13
"1286",29
"1287",22
"1288",27
"1289",27
"1290",38
"1291",31
"1292",23
"1293",53
"1294",30
"1295",26
"1296",22
"1297",19
"1298",33
"1299",32
"1300",15
"1301",33
"1302",38
"1303",24
"1304",23
"1305",27
"1306",19
"1307",29
"1308",21
"1309",19
"1310",31
"1311",26
"1312",47
"1313",25
"1314",17
"1315",23
"1316",33
"1317",26
"1318",49
"1319",29
"1320",17
"1321",3
"1322",25
"1323",28
"1324",7
"1325",31
"1326",22
"1327",16
"1328",50
"1329",3
"1330",33
"1331",26
"1332",6
"1333",23
"1334",40
"1335",44
"1336",33
"1337",33
"1338",19
"1339",48
"1340",40
"1341",31
"1342",31
"1343",20
"1344",15
"1345",31
"1346",11
"1347",17
"1348",24
"1349",30
"1350",51
"1351",31
"1352",21
"1353",36
"1354",18
"1355",15
"1356",25
"1357",34
"1358",28
"1359",19
"1360",35
"1361",18
"1362",5
"1363",10
"1364",21
"1365",30
"1366",20
"1367",26
"1368",41
"1369",45
"1370",19
"1371",22
"1372",18
"1373",9
"1374",23
"1375",16
"1376",25
"1377",32
"1378",41
"1379",22
"1380",18
"1381",31
"1382",25
"1383",28
"1384",19
"1385",36
"1386",28
"1387",16
"1388",21
"1389",20
"1390",25
"1391",21
"1392",12
"1393",34
"1394",30
"1395",38
"1396",28
"1397",22
"1398",14
"1399",44
"1400",8
"1401",12
"1402",35
"1403",26
"1404",32
"1405",18
"1406",24
"1407",25
"1408",18
"1409",15
"1410",33
"1411",7
"1412",47
"1413",28
"1414",17
"1415",16
"1416",37
"1417",37
"1418",24
"1419",14
"1420",8
"1421",28
"1422",38
"1423",21
"1424",46
"1425",12
"1426",23
"1427",33
"1428",22
"1429",20
"1430",27
"1431",44
"1432",33
"1433",37
"1434",29
"1435",23
"1436",12
"1437",19
"1438",13
"1439",30
"1440",16
"1441",20
"1442",34
"1443",13
"1444",24
"1445",38
"1446",23
"1447",33
"1448",26
"1449",16
"1450",25
"1451",24
"1452",28
"1453",12
"1454",14
"1455",32
"1456",33
"1457",18
"1458",28
"1459",19
"1460",26
"1461",27
"1462",28
"1463",33
"1464",48
"1465",14
"1466",22
"1467",15
"1468",13
"1469",51
"1470",23
"1471",46
"1472",22
"1473",41
"1474",13
"1475",53
"1476",20
"1477",23
"1478",14
"1479",30
"1480",26
"1481",17
"1482",28
"1483",25
"1484",28
"1485",22
"1486",23
"1487",17
"1488",14
"1489",35
"1490",20
"1491",17
"1492",20
"1493",16
"1494",16
"1495",13
"1496",4
"1497",16
"1498",22
"1499",35
"1500",25
"1501",26
"1502",30
"1503",28
"1504",2
"1505",16
"1506",38
"1507",15
"1508",13
"1509",12
"1510",9
"1511",23
"1512",38
"1513",43
"1514",31
"1515",39
"1516",24
"1517",15
"1518",15
"1519",27
"1520",24
"1521",12
"1522",4
"1523",19
"1524",17
"1525",17
"1526",41
"1527",21
"1528",33
"1529",17
"1530",17
"1531",42
"1532",20
"1533",32
"1534",40
"1535",36
"1536",48
"1537",15
"1538",64
"1539",19
"1540",19
"1541",35
"1542",30
"1543",48
"1544",23
"1545",18
"1546",38
"1547",22
"1548",44
"1549",19
"1550",16
"1551",34
"1552",12
"1553",27
"1554",18
"1555",22
"1556",21
"1557",31
"1558",24
"1559",10
"1560",17
"1561",23
"1562",32
"1563",26
"1564",45
"1565",34
"1566",20
"1567",26
"1568",36
"1569",17
"1570",21
"1571",33
"1572",15
"1573",22
"1574",25
"1575",19
"1576",21
"1577",21
"1578",23
"1579",23
"1580",28
"1581",22
"1582",8
"1583",30
"1584",27
"1585",34
"1586",19
"1587",20
"1588",29
"1589",24
"1590",10
"1591",24
"1592",37
"1593",42
"1594",17
"1595",27
"1596",41
"1597",29
"1598",35
"1599",17
"1600",34
"1601",24
"1602",36
"1603",42
"1604",79
"1605",10
"1606",7
"1607",48
"1608",14
"1609",21
"1610",7
"1611",20
"1612",45
"1613",9
"1614",35
"1615",22
"1616",15
"1617",20
"1618",24
"1619",40
"1620",25
"1621",31
"1622",27
"1623",53
"1624",20
"1625",30
"1626",34
"1627",9
"1628",22
"1629",29
"1630",25
"1631",16
"1632",14
"1633",12
"1634",40
"1635",20
"1636",13
"1637",25
"1638",24
"1639",10
"1640",21
"1641",29
"1642",24
"1643",12
"1644",33
"1645",43
"1646",24
"1647",14
"1648",13
"1649",20
"1650",26
"1651",20
"1652",39
"1653",39
"1654",25
"1655",34
"1656",28
"1657",20
"1658",15
"1659",6
"1660",27
"1661",26
"1662",24
"1663",35
"1664",10
"1665",51
"1666",12
"1667",17
"1668",22
"1669",20
"1670",32
"1671",26
"1672",31
"1673",17
"1674",31
"1675",9
"1676",23
"1677",18
"1678",45
"1679",18
"1680",28
"1681",35
"1682",36
"1683",16
"1684",14
"1685",18
"1686",25
"1687",16
"1688",37
"1689",12
"1690",22
"1691",24
"1692",10
"1693",15
"1694",11
"1695",60
"1696",21
"1697",17
"1698",32
"1699",32
"1700",17
"1701",28
"1702",17
"1703",11
"1704",28
"1705",25
"1706",28
"1707",28
"1708",50
"1709",26
"1710",36
"1711",18
"1712",33
"1713",21
"1714",11
"1715",18
"1716",20
"1717",24
"1718",14
"1719",82
"1720",18
"1721",15
"1722",12
"1723",40
"1724",11
"1725",14
"1726",23
"1727",26
"1728",30
"1729",32
"1730",17
"1731",42
"1732",11
"1733",14
"1734",30
"1735",16
"1736",8
"1737",31
"1738",39
"1739",14
"1740",18
"1741",23
"1742",27
"1743",17
"1744",28
"1745",22
"1746",32
"1747",28
"1748",47
"1749",23
"1750",15
"1751",21
"1752",43
"1753",5
"1754",14
"1755",18
"1756",12
"1757",14
"1758",14
"1759",35
"1760",15
"1761",23
"1762",12
"1763",32
"1764",8
"1765",23
"1766",45
"1767",25
"1768",32
"1769",26
"1770",12
"1771",14
"1772",21
"1773",14
"1774",23
"1775",37
"1776",26
"1777",13
"1778",16
"1779",33
"1780",37
"1781",31
"1782",22
"1783",20
"1784",13
"1785",29
"1786",37
"1787",45
"1788",24
"1789",34
"1790",17
"1791",20
"1792",22
"1793",27
"1794",30
"1795",13
"1796",13
"1797",31
"1798",16
"1799",16
"1800",18
"1801",17
"1802",30
"1803",21
"1804",25
"1805",25
"1806",23
"1807",18
"1808",6
"1809",23
"1810",47
"1811",18
"1812",5
"1813",9
"1814",37
"1815",33
"1816",12
"1817",28
"1818",34
"1819",40
"1820",27
"1821",30
"1822",24
"1823",12
"1824",33
"1825",22
"1826",23
"1827",16
"1828",13
"1829",10
"1830",10
"1831",23
"1832",19
"1833",6
"1834",46
"1835",36
"1836",38
"1837",30
"1838",38
"1839",14
"1840",21
"1841",9
"1842",35
"1843",23
"1844",12
"1845",17
"1846",16
"1847",31
"1848",22
"1849",15
"1850",25
"1851",23
"1852",40
"1853",29
"1854",20
"1855",12
"1856",22
"1857",10
"1858",22
"1859",29
"1860",20
"1861",19
"1862",26
"1863",8
"1864",27
"1865",14
"1866",35
"1867",42
"1868",13
"1869",22
"1870",15
"1871",44
"1872",26
"1873",24
"1874",30
"1875",15
"1876",40
"1877",33
"1878",2
"1879",14
"1880",23
"1881",8
"1882",31
"1883",24
"1884",42
"1885",39
"1886",28
"1887",18
"1888",19
"1889",46
"1890",13
"1891",12
"1892",25
"1893",26
"1894",49
"1895",45
"1896",24
"1897",43
"1898",24
"1899",29
"1900",11
"1901",30
"1902",19
"1903",31
"1904",31
"1905",16
"1906",44
"1907",42
"1908",25
"1909",15
"1910",27
"1911",12
"1912",11
"1913",13
"1914",18
"1915",67
"1916",28
"1917",55
"1918",21
"1919",11
"1920",33
"1921",17
"1922",14
"1923",18
"1924",19
"1925",28
"1926",11
"1927",57
"1928",22
"1929",26
"1930",15
"1931",28
"1932",32
"1933",34
"1934",7
"1935",21
"1936",22
"1937",25
"1938",26
"1939",23
"1940",16
"1941",36
"1942",63
"1943",29
"1944",26
"1945",39
"1946",33
"1947",39
"1948",31
"1949",28
"1950",27
"1951",20
"1952",9
"1953",38
"1954",22
"1955",29
"1956",12
"1957",28
"1958",39
"1959",25
"1960",31
"1961",19
"1962",13
"1963",46
"1964",21
"1965",45
"1966",27
"1967",26
"1968",24
"1969",30
"1970",23
"1971",39
"1972",30
"1973",13
"1974",29
"1975",26
"1976",33
"1977",27
"1978",29
"1979",20
"1980",20
"1981",47
"1982",17
"1983",34
"1984",24
"1985",37
"1986",26
"1987",16
"1988",13
"1989",13
"1990",38
"1991",31
"1992",29
"1993",8
"1994",27
"1995",18
"1996",22
"1997",29
"1998",18
"1999",8
"2000",35
"2001",11
"2002",37
"2003",14
"2004",21
"2005",46
"2006",25
"2007",32
"2008",32
